i	X	Y
1	0.09	1.86
2	0.19	2.19
3	0.29	2.51
4	0.4	2.84
5	0.5	3.16
6	0.59	3.47
7	0.71	3.76
8	0.79	4.08
9	0.91	4.4
10	1	4.69
11	1.11	5.03
12	1.21	5.34
13	1.3	5.64
14	1.39	5.96
15	1.5	6.27
16	1.59	6.61
17	1.69	6.89
18	1.8	7.21
19	1.9	7.51
20	1.99	7.83
21	2.11	8.17
22	2.19	8.45
23	2.31	8.79
24	2.4	9.1
25	2.5	9.41
26	2.59	9.72
27	2.71	10.05
28	2.79	10.37
29	2.9	10.65
30	3	11.01
31	3.09	11.28
32	3.19	11.6
33	3.29	11.91
34	3.41	12.25
35	3.49	12.57
36	3.6	12.86
37	3.7	13.18
38	3.81	13.51
39	3.91	13.8
40	4.01	14.15
41	4.09	14.46
42	4.19	14.78
43	4.29	15.07
44	4.4	15.38
45	4.49	15.71
46	4.6	16.04
47	4.71	16.35
48	4.81	16.64
49	4.9	16.93
50	5	17.27
