   t 	          y1 	          y2 
    0.000	    1.000	    1.000
    0.050	    0.989	    1.050
    0.100	    0.975	    1.099
    0.150	    0.960	    1.147
    0.200	    0.942	    1.195
    0.250	    0.922	    1.241
    0.300	    0.900	    1.287
    0.350	    0.876	    1.331
    0.400	    0.850	    1.374
    0.450	    0.823	    1.416
    0.500	    0.794	    1.457
    0.550	    0.764	    1.496
    0.600	    0.732	    1.533
    0.650	    0.699	    1.569
    0.700	    0.665	    1.603
    0.750	    0.630	    1.635
    0.800	    0.594	    1.666
    0.850	    0.557	    1.695
    0.900	    0.519	    1.722
    0.950	    0.481	    1.747
    1.000	    0.442	    1.770
    1.050	    0.403	    1.791
    1.100	    0.364	    1.810
    1.150	    0.325	    1.827
    1.200	    0.285	    1.842
    1.250	    0.246	    1.856
    1.300	    0.206	    1.867
    1.350	    0.167	    1.876
    1.400	    0.128	    1.884
    1.450	    0.090	    1.889
    1.500	    0.052	    1.893
    1.550	    0.015	    1.894
    1.600	   -0.025	    1.894
    1.650	   -0.067	    1.892
    1.700	   -0.107	    1.888
    1.750	   -0.147	    1.881
    1.800	   -0.186	    1.873
    1.850	   -0.223	    1.863
    1.900	   -0.259	    1.851
    1.950	   -0.294	    1.837
    2.000	   -0.327	    1.821
    2.050	   -0.358	    1.804
    2.100	   -0.388	    1.786
    2.150	   -0.417	    1.765
    2.200	   -0.444	    1.744
    2.250	   -0.469	    1.721
    2.300	   -0.493	    1.697
    2.350	   -0.514	    1.672
    2.400	   -0.534	    1.646
    2.450	   -0.553	    1.618
    2.500	   -0.569	    1.590
    2.550	   -0.584	    1.562
    2.600	   -0.597	    1.532
    2.650	   -0.608	    1.502
    2.700	   -0.617	    1.471
    2.750	   -0.624	    1.440
    2.800	   -0.630	    1.409
    2.850	   -0.634	    1.377
    2.900	   -0.637	    1.345
    2.950	   -0.637	    1.314
    3.000	   -0.636	    1.282
    3.050	   -0.634	    1.250
    3.100	   -0.629	    1.218
    3.150	   -0.624	    1.187
    3.200	   -0.616	    1.156
    3.250	   -0.608	    1.125
    3.300	   -0.598	    1.095
    3.350	   -0.586	    1.066
    3.400	   -0.574	    1.037
    3.450	   -0.560	    1.008
    3.500	   -0.545	    0.981
    3.550	   -0.528	    0.954
    3.600	   -0.511	    0.928
    3.650	   -0.493	    0.903
    3.700	   -0.474	    0.879
    3.750	   -0.454	    0.855
    3.800	   -0.433	    0.833
    3.850	   -0.412	    0.812
    3.900	   -0.390	    0.792
    3.950	   -0.367	    0.773
    4.000	   -0.344	    0.755
    4.050	   -0.320	    0.739
    4.100	   -0.296	    0.723
    4.150	   -0.272	    0.709
    4.200	   -0.248	    0.696
    4.250	   -0.223	    0.684
    4.300	   -0.199	    0.674
    4.350	   -0.174	    0.665
    4.400	   -0.149	    0.656
    4.450	   -0.125	    0.650
    4.500	   -0.100	    0.644
    4.550	   -0.076	    0.640
    4.600	   -0.052	    0.636
    4.650	   -0.029	    0.634
    4.700	   -0.006	    0.633
    4.750	    0.017	    0.634
    4.800	    0.040	    0.635
    4.850	    0.062	    0.638
    4.900	    0.084	    0.641
    4.950	    0.105	    0.646
    5.000	    0.125	    0.652
    5.050	    0.144	    0.659
    5.100	    0.163	    0.666
    5.150	    0.181	    0.675
    5.200	    0.198	    0.684
    5.250	    0.215	    0.695
    5.300	    0.230	    0.706
    5.350	    0.245	    0.718
    5.400	    0.258	    0.730
    5.450	    0.271	    0.744
    5.500	    0.283	    0.757
    5.550	    0.293	    0.772
    5.600	    0.303	    0.787
    5.650	    0.312	    0.802
    5.700	    0.320	    0.818
    5.750	    0.327	    0.834
    5.800	    0.332	    0.850
    5.850	    0.337	    0.867
    5.900	    0.341	    0.884
    5.950	    0.344	    0.901
    6.000	    0.346	    0.919
    6.050	    0.347	    0.936
    6.100	    0.348	    0.953
    6.150	    0.347	    0.971
    6.200	    0.345	    0.988
    6.250	    0.343	    1.005
    6.300	    0.340	    1.022
    6.350	    0.336	    1.039
    6.400	    0.331	    1.056
    6.450	    0.325	    1.072
    6.500	    0.319	    1.088
    6.550	    0.312	    1.104
    6.600	    0.304	    1.120
    6.650	    0.296	    1.135
    6.700	    0.287	    1.149
    6.750	    0.277	    1.163
    6.800	    0.267	    1.177
    6.850	    0.257	    1.190
    6.900	    0.246	    1.202
    6.950	    0.234	    1.215
    7.000	    0.223	    1.226
    7.050	    0.211	    1.237
    7.100	    0.198	    1.247
    7.150	    0.186	    1.257
    7.200	    0.173	    1.266
    7.250	    0.160	    1.274
    7.300	    0.146	    1.281
    7.350	    0.133	    1.288
    7.400	    0.120	    1.295
    7.450	    0.106	    1.300
    7.500	    0.093	    1.305
    7.550	    0.079	    1.310
    7.600	    0.066	    1.313
    7.650	    0.053	    1.316
    7.700	    0.039	    1.319
    7.750	    0.026	    1.320
    7.800	    0.014	    1.321
    7.850	    0.001	    1.322
    7.900	   -0.013	    1.321
    7.950	   -0.028	    1.320
    8.000	   -0.042	    1.319
    8.050	   -0.055	    1.316
    8.100	   -0.068	    1.313
    8.150	   -0.081	    1.309
    8.200	   -0.093	    1.305
    8.250	   -0.105	    1.300
    8.300	   -0.116	    1.294
    8.350	   -0.127	    1.288
    8.400	   -0.137	    1.282
    8.450	   -0.147	    1.275
    8.500	   -0.156	    1.267
    8.550	   -0.165	    1.259
    8.600	   -0.172	    1.251
    8.650	   -0.180	    1.242
    8.700	   -0.186	    1.233
    8.750	   -0.193	    1.223
    8.800	   -0.198	    1.213
    8.850	   -0.203	    1.203
    8.900	   -0.207	    1.193
    8.950	   -0.211	    1.183
    9.000	   -0.214	    1.172
    9.050	   -0.216	    1.161
    9.100	   -0.218	    1.150
    9.150	   -0.219	    1.139
    9.200	   -0.220	    1.128
    9.250	   -0.220	    1.118
    9.300	   -0.219	    1.107
    9.350	   -0.218	    1.096
    9.400	   -0.216	    1.085
    9.450	   -0.214	    1.074
    9.500	   -0.212	    1.063
    9.550	   -0.208	    1.053
    9.600	   -0.205	    1.042
    9.650	   -0.201	    1.032
    9.700	   -0.196	    1.022
    9.750	   -0.191	    1.013
    9.800	   -0.186	    1.003
    9.850	   -0.180	    0.994
    9.900	   -0.174	    0.985
    9.950	   -0.168	    0.977
   10.000	   -0.161	    0.968
   10.050	   -0.154	    0.961
   10.100	   -0.147	    0.953
   10.150	   -0.139	    0.946
   10.200	   -0.132	    0.939
   10.250	   -0.124	    0.933
   10.300	   -0.116	    0.927
   10.350	   -0.108	    0.921
   10.400	   -0.099	    0.916
   10.450	   -0.091	    0.911
   10.500	   -0.083	    0.907
   10.550	   -0.074	    0.903
   10.600	   -0.066	    0.899
   10.650	   -0.057	    0.896
   10.700	   -0.049	    0.894
   10.750	   -0.040	    0.892
   10.800	   -0.032	    0.890
   10.850	   -0.024	    0.888
   10.900	   -0.015	    0.887
   10.950	   -0.007	    0.887
   11.000	    0.001	    0.887
   11.050	    0.011	    0.887
   11.100	    0.021	    0.888
   11.150	    0.030	    0.889
   11.200	    0.040	    0.891
   11.250	    0.049	    0.893
