   t 	          y1 	          y2 
    0.000	    1.000	    0.000
    0.050	    0.989	    0.049
    0.100	    0.975	    0.098
    0.150	    0.960	    0.145
    0.200	    0.942	    0.191
    0.250	    0.922	    0.235
    0.300	    0.900	    0.278
    0.350	    0.876	    0.320
    0.400	    0.850	    0.359
    0.450	    0.823	    0.398
    0.500	    0.794	    0.434
    0.550	    0.764	    0.468
    0.600	    0.732	    0.501
    0.650	    0.699	    0.531
    0.700	    0.665	    0.560
    0.750	    0.630	    0.587
    0.800	    0.594	    0.611
    0.850	    0.557	    0.634
    0.900	    0.519	    0.654
    0.950	    0.481	    0.673
    1.000	    0.442	    0.689
    1.050	    0.403	    0.703
    1.100	    0.364	    0.715
    1.150	    0.325	    0.725
    1.200	    0.285	    0.733
    1.250	    0.246	    0.739
    1.300	    0.206	    0.743
    1.350	    0.167	    0.745
    1.400	    0.128	    0.745
    1.450	    0.090	    0.743
    1.500	    0.052	    0.739
    1.550	    0.015	    0.733
    1.600	   -0.025	    0.726
    1.650	   -0.067	    0.716
    1.700	   -0.107	    0.705
    1.750	   -0.147	    0.691
    1.800	   -0.186	    0.676
    1.850	   -0.223	    0.659
    1.900	   -0.259	    0.641
    1.950	   -0.294	    0.621
    2.000	   -0.327	    0.599
    2.050	   -0.358	    0.576
    2.100	   -0.388	    0.552
    2.150	   -0.417	    0.526
    2.200	   -0.444	    0.500
    2.250	   -0.469	    0.472
    2.300	   -0.493	    0.443
    2.350	   -0.514	    0.414
    2.400	   -0.534	    0.384
    2.450	   -0.553	    0.353
    2.500	   -0.569	    0.321
    2.550	   -0.584	    0.289
    2.600	   -0.597	    0.257
    2.650	   -0.608	    0.225
    2.700	   -0.617	    0.192
    2.750	   -0.624	    0.159
    2.800	   -0.630	    0.126
    2.850	   -0.634	    0.094
    2.900	   -0.637	    0.061
    2.950	   -0.637	    0.029
    3.000	   -0.636	   -0.003
    3.050	   -0.634	   -0.035
    3.100	   -0.629	   -0.066
    3.150	   -0.624	   -0.096
    3.200	   -0.616	   -0.126
    3.250	   -0.608	   -0.155
    3.300	   -0.598	   -0.184
    3.350	   -0.586	   -0.212
    3.400	   -0.574	   -0.238
    3.450	   -0.560	   -0.264
    3.500	   -0.545	   -0.289
    3.550	   -0.528	   -0.313
    3.600	   -0.511	   -0.336
    3.650	   -0.493	   -0.357
    3.700	   -0.474	   -0.378
    3.750	   -0.454	   -0.397
    3.800	   -0.433	   -0.415
    3.850	   -0.412	   -0.432
    3.900	   -0.390	   -0.448
    3.950	   -0.367	   -0.462
    4.000	   -0.344	   -0.475
    4.050	   -0.320	   -0.487
    4.100	   -0.296	   -0.497
    4.150	   -0.272	   -0.507
    4.200	   -0.248	   -0.514
    4.250	   -0.223	   -0.521
    4.300	   -0.199	   -0.526
    4.350	   -0.174	   -0.530
    4.400	   -0.149	   -0.533
    4.450	   -0.125	   -0.535
    4.500	   -0.100	   -0.535
    4.550	   -0.076	   -0.534
    4.600	   -0.052	   -0.532
    4.650	   -0.029	   -0.529
    4.700	   -0.006	   -0.524
    4.750	    0.017	   -0.519
    4.800	    0.040	   -0.512
    4.850	    0.062	   -0.504
    4.900	    0.084	   -0.496
    4.950	    0.105	   -0.486
    5.000	    0.125	   -0.476
    5.050	    0.144	   -0.464
    5.100	    0.163	   -0.452
    5.150	    0.181	   -0.439
    5.200	    0.198	   -0.425
    5.250	    0.215	   -0.411
    5.300	    0.230	   -0.395
    5.350	    0.245	   -0.380
    5.400	    0.258	   -0.363
    5.450	    0.271	   -0.347
    5.500	    0.283	   -0.329
    5.550	    0.293	   -0.312
    5.600	    0.303	   -0.294
    5.650	    0.312	   -0.276
    5.700	    0.320	   -0.257
    5.750	    0.327	   -0.238
    5.800	    0.332	   -0.220
    5.850	    0.337	   -0.201
    5.900	    0.341	   -0.182
    5.950	    0.344	   -0.163
    6.000	    0.346	   -0.144
    6.050	    0.347	   -0.126
    6.100	    0.348	   -0.107
    6.150	    0.347	   -0.089
    6.200	    0.345	   -0.071
    6.250	    0.343	   -0.053
    6.300	    0.340	   -0.035
    6.350	    0.336	   -0.018
    6.400	    0.331	   -0.001
    6.450	    0.325	    0.015
    6.500	    0.319	    0.031
    6.550	    0.312	    0.046
    6.600	    0.304	    0.061
    6.650	    0.296	    0.075
    6.700	    0.287	    0.089
    6.750	    0.277	    0.102
    6.800	    0.267	    0.115
    6.850	    0.257	    0.127
    6.900	    0.246	    0.138
    6.950	    0.234	    0.149
    7.000	    0.223	    0.158
    7.050	    0.211	    0.168
    7.100	    0.198	    0.176
    7.150	    0.186	    0.184
    7.200	    0.173	    0.191
    7.250	    0.160	    0.197
    7.300	    0.146	    0.203
    7.350	    0.133	    0.208
    7.400	    0.120	    0.212
    7.450	    0.106	    0.216
    7.500	    0.093	    0.218
    7.550	    0.079	    0.221
    7.600	    0.066	    0.222
    7.650	    0.053	    0.223
    7.700	    0.039	    0.223
    7.750	    0.026	    0.222
    7.800	    0.014	    0.221
    7.850	    0.001	    0.219
    7.900	   -0.013	    0.217
    7.950	   -0.028	    0.213
    8.000	   -0.042	    0.210
    8.050	   -0.055	    0.205
    8.100	   -0.068	    0.200
    8.150	   -0.081	    0.194
    8.200	   -0.093	    0.188
    8.250	   -0.105	    0.181
    8.300	   -0.116	    0.174
    8.350	   -0.127	    0.166
    8.400	   -0.137	    0.158
    8.450	   -0.147	    0.149
    8.500	   -0.156	    0.140
    8.550	   -0.165	    0.131
    8.600	   -0.172	    0.121
    8.650	   -0.180	    0.111
    8.700	   -0.186	    0.101
    8.750	   -0.193	    0.091
    8.800	   -0.198	    0.080
    8.850	   -0.203	    0.069
    8.900	   -0.207	    0.058
    8.950	   -0.211	    0.047
    9.000	   -0.214	    0.036
    9.050	   -0.216	    0.025
    9.100	   -0.218	    0.014
    9.150	   -0.219	    0.003
    9.200	   -0.220	   -0.008
    9.250	   -0.220	   -0.019
    9.300	   -0.219	   -0.029
    9.350	   -0.218	   -0.040
    9.400	   -0.216	   -0.050
    9.450	   -0.214	   -0.061
    9.500	   -0.212	   -0.071
    9.550	   -0.208	   -0.080
    9.600	   -0.205	   -0.090
    9.650	   -0.201	   -0.099
    9.700	   -0.196	   -0.108
    9.750	   -0.191	   -0.117
    9.800	   -0.186	   -0.125
    9.850	   -0.180	   -0.133
    9.900	   -0.174	   -0.140
    9.950	   -0.168	   -0.147
   10.000	   -0.161	   -0.154
   10.050	   -0.154	   -0.160
   10.100	   -0.147	   -0.166
   10.150	   -0.139	   -0.172
   10.200	   -0.132	   -0.177
   10.250	   -0.124	   -0.181
   10.300	   -0.116	   -0.185
   10.350	   -0.108	   -0.189
   10.400	   -0.099	   -0.192
   10.450	   -0.091	   -0.195
   10.500	   -0.083	   -0.198
   10.550	   -0.074	   -0.200
   10.600	   -0.066	   -0.201
   10.650	   -0.057	   -0.202
   10.700	   -0.049	   -0.203
   10.750	   -0.040	   -0.203
   10.800	   -0.032	   -0.203
   10.850	   -0.024	   -0.202
   10.900	   -0.015	   -0.201
   10.950	   -0.007	   -0.200
   11.000	    0.001	   -0.198
   11.050	    0.011	   -0.195
   11.100	    0.021	   -0.193
   11.150	    0.030	   -0.190
   11.200	    0.040	   -0.186
   11.250	    0.049	   -0.182
   11.300	    0.058	   -0.177
   11.350	    0.066	   -0.173
   11.400	    0.074	   -0.167
   11.450	    0.082	   -0.162
   11.500	    0.089	   -0.156
   11.550	    0.096	   -0.150
   11.600	    0.103	   -0.143
   11.650	    0.109	   -0.137
   11.700	    0.115	   -0.130
   11.750	    0.120	   -0.123
   11.800	    0.125	   -0.115
   11.850	    0.130	   -0.108
   11.900	    0.134	   -0.100
   11.950	    0.138	   -0.092
   12.000	    0.141	   -0.085
   12.050	    0.144	   -0.077
   12.100	    0.146	   -0.069
   12.150	    0.148	   -0.061
   12.200	    0.150	   -0.053
   12.250	    0.151	   -0.045
   12.300	    0.152	   -0.037
   12.350	    0.152	   -0.029
   12.400	    0.152	   -0.021
   12.450	    0.151	   -0.013
   12.500	    0.151	   -0.006
   12.550	    0.149	    0.002
   12.600	    0.148	    0.009
   12.650	    0.146	    0.017
   12.700	    0.144	    0.024
   12.750	    0.141	    0.031
   12.800	    0.138	    0.037
   12.850	    0.135	    0.044
   12.900	    0.132	    0.050
   12.950	    0.128	    0.056
   13.000	    0.124	    0.061
   13.050	    0.120	    0.067
   13.100	    0.115	    0.072
   13.150	    0.111	    0.077
   13.200	    0.106	    0.082
   13.250	    0.101	    0.086
   13.300	    0.096	    0.090
   13.350	    0.090	    0.094
   13.400	    0.085	    0.097
   13.450	    0.079	    0.100
   13.500	    0.074	    0.103
   13.550	    0.068	    0.106
   13.600	    0.062	    0.108
   13.650	    0.056	    0.110
   13.700	    0.050	    0.111
   13.750	    0.044	    0.112
   13.800	    0.039	    0.113
   13.850	    0.033	    0.114
   13.900	    0.027	    0.114
   13.950	    0.021	    0.114
   14.000	    0.015	    0.114
