   t 	           y 
    0.000	    1.000
    0.250	    0.781
    0.500	    0.619
    0.750	    0.506
    1.000	    0.431
    1.250	    0.387
    1.500	    0.369
    1.750	    0.374
    2.000	    0.403
    2.250	    0.459
    2.500	    0.550
    2.750	    0.683
    3.000	    0.868
    3.250	    1.114
    3.500	    1.420
    3.750	    1.771
    4.000	    2.131
    4.250	    2.447
    4.500	    2.658
    4.750	    2.716
    5.000	    2.609
    5.250	    2.361
    5.500	    2.025
    5.750	    1.662
    6.000	    1.322
