   t 	           y 
    0.000	    1.000
    0.050	    0.999
    0.100	    0.995
    0.150	    0.989
    0.200	    0.980
    0.250	    0.969
    0.300	    0.955
    0.350	    0.939
    0.400	    0.921
    0.450	    0.900
    0.500	    0.878
    0.550	    0.853
    0.600	    0.825
    0.650	    0.796
    0.700	    0.765
    0.750	    0.732
    0.800	    0.697
    0.850	    0.660
    0.900	    0.622
    0.950	    0.582
    1.000	    0.540
    1.050	    0.498
    1.100	    0.454
    1.150	    0.408
    1.200	    0.362
    1.250	    0.315
    1.300	    0.267
    1.350	    0.219
    1.400	    0.170
    1.450	    0.121
    1.500	    0.071
    1.550	    0.021
    1.600	   -0.029
    1.650	   -0.079
    1.700	   -0.129
    1.750	   -0.178
    1.800	   -0.227
    1.850	   -0.276
    1.900	   -0.323
    1.950	   -0.370
    2.000	   -0.416
    2.050	   -0.461
    2.100	   -0.505
    2.150	   -0.547
    2.200	   -0.589
    2.250	   -0.628
    2.300	   -0.666
    2.350	   -0.703
    2.400	   -0.737
    2.450	   -0.770
    2.500	   -0.801
    2.550	   -0.830
    2.600	   -0.857
    2.650	   -0.882
    2.700	   -0.904
    2.750	   -0.924
    2.800	   -0.942
    2.850	   -0.958
    2.900	   -0.971
    2.950	   -0.982
    3.000	   -0.990
    3.050	   -0.996
    3.100	   -0.999
    3.150	   -1.000
    3.200	   -0.998
    3.250	   -0.994
    3.300	   -0.987
    3.350	   -0.978
    3.400	   -0.967
    3.450	   -0.953
    3.500	   -0.936
    3.550	   -0.918
    3.600	   -0.897
    3.650	   -0.874
    3.700	   -0.848
    3.750	   -0.821
    3.800	   -0.791
    3.850	   -0.759
    3.900	   -0.726
    3.950	   -0.691
    4.000	   -0.654
    4.050	   -0.615
    4.100	   -0.575
    4.150	   -0.533
    4.200	   -0.490
    4.250	   -0.446
    4.300	   -0.401
    4.350	   -0.355
    4.400	   -0.307
    4.450	   -0.259
    4.500	   -0.211
    4.550	   -0.162
    4.600	   -0.112
    4.650	   -0.062
    4.700	   -0.012
    4.750	    0.038
    4.800	    0.087
    4.850	    0.137
    4.900	    0.187
    4.950	    0.235
    5.000	    0.284
    5.050	    0.331
    5.100	    0.378
    5.150	    0.424
    5.200	    0.469
    5.250	    0.512
    5.300	    0.554
    5.350	    0.595
    5.400	    0.635
    5.450	    0.673
    5.500	    0.709
    5.550	    0.743
    5.600	    0.776
    5.650	    0.806
    5.700	    0.835
    5.750	    0.861
    5.800	    0.886
    5.850	    0.908
    5.900	    0.927
    5.950	    0.945
    6.000	    0.960
    6.050	    0.973
    6.100	    0.983
    6.150	    0.991
    6.200	    0.997
    6.250	    0.999
    6.300	    1.000
    6.350	    0.998
    6.400	    0.993
    6.450	    0.986
    6.500	    0.977
    6.550	    0.965
    6.600	    0.950
    6.650	    0.933
    6.700	    0.914
    6.750	    0.893
    6.800	    0.869
    6.850	    0.844
    6.900	    0.816
    6.950	    0.786
    7.000	    0.754
    7.050	    0.720
    7.100	    0.685
    7.150	    0.647
    7.200	    0.608
    7.250	    0.568
    7.300	    0.526
    7.350	    0.483
    7.400	    0.439
    7.450	    0.393
    7.500	    0.347
    7.550	    0.299
    7.600	    0.251
    7.650	    0.203
    7.700	    0.153
    7.750	    0.104
    7.800	    0.054
    7.850	    0.004
    7.900	   -0.046
    7.950	   -0.096
    8.000	   -0.146
