   t 	           y 	          yd 
    0.000	    1.000	    0.000
    0.010	    1.000	   -0.010
    0.020	    1.000	   -0.020
    0.030	    1.000	   -0.030
    0.040	    0.999	   -0.040
    0.050	    0.999	   -0.050
    0.060	    0.998	   -0.060
    0.070	    0.998	   -0.070
    0.080	    0.997	   -0.080
    0.090	    0.996	   -0.090
    0.100	    0.995	   -0.100
    0.110	    0.994	   -0.110
    0.120	    0.993	   -0.120
    0.130	    0.992	   -0.130
    0.140	    0.990	   -0.140
    0.150	    0.989	   -0.149
    0.160	    0.987	   -0.159
    0.170	    0.986	   -0.169
    0.180	    0.984	   -0.179
    0.190	    0.982	   -0.189
    0.200	    0.980	   -0.199
    0.210	    0.978	   -0.208
    0.220	    0.976	   -0.218
    0.230	    0.974	   -0.228
    0.240	    0.971	   -0.238
    0.250	    0.969	   -0.247
    0.260	    0.966	   -0.257
    0.270	    0.964	   -0.267
    0.280	    0.961	   -0.276
    0.290	    0.958	   -0.286
    0.300	    0.955	   -0.296
    0.310	    0.952	   -0.305
    0.320	    0.949	   -0.315
    0.330	    0.946	   -0.324
    0.340	    0.943	   -0.333
    0.350	    0.939	   -0.343
    0.360	    0.936	   -0.352
    0.370	    0.932	   -0.362
    0.380	    0.929	   -0.371
    0.390	    0.925	   -0.380
    0.400	    0.921	   -0.389
    0.410	    0.917	   -0.399
    0.420	    0.913	   -0.408
    0.430	    0.909	   -0.417
    0.440	    0.905	   -0.426
    0.450	    0.900	   -0.435
    0.460	    0.896	   -0.444
    0.470	    0.892	   -0.453
    0.480	    0.887	   -0.462
    0.490	    0.882	   -0.471
    0.500	    0.878	   -0.479
    0.510	    0.873	   -0.488
    0.520	    0.868	   -0.497
    0.530	    0.863	   -0.506
    0.540	    0.858	   -0.514
    0.550	    0.853	   -0.523
    0.560	    0.847	   -0.531
    0.570	    0.842	   -0.540
    0.580	    0.836	   -0.548
    0.590	    0.831	   -0.556
    0.600	    0.825	   -0.565
    0.610	    0.820	   -0.573
    0.620	    0.814	   -0.581
    0.630	    0.808	   -0.589
    0.640	    0.802	   -0.597
    0.650	    0.796	   -0.605
    0.660	    0.790	   -0.613
    0.670	    0.784	   -0.621
    0.680	    0.778	   -0.629
    0.690	    0.771	   -0.637
    0.700	    0.765	   -0.644
    0.710	    0.758	   -0.652
    0.720	    0.752	   -0.659
    0.730	    0.745	   -0.667
    0.740	    0.738	   -0.674
    0.750	    0.732	   -0.682
    0.760	    0.725	   -0.689
    0.770	    0.718	   -0.696
    0.780	    0.711	   -0.703
    0.790	    0.704	   -0.710
    0.800	    0.697	   -0.717
    0.810	    0.689	   -0.724
    0.820	    0.682	   -0.731
    0.830	    0.675	   -0.738
    0.840	    0.667	   -0.745
    0.850	    0.660	   -0.751
    0.860	    0.652	   -0.758
    0.870	    0.645	   -0.764
    0.880	    0.637	   -0.771
    0.890	    0.629	   -0.777
    0.900	    0.622	   -0.783
    0.910	    0.614	   -0.790
    0.920	    0.606	   -0.796
    0.930	    0.598	   -0.802
    0.940	    0.590	   -0.808
    0.950	    0.582	   -0.813
    0.960	    0.574	   -0.819
    0.970	    0.565	   -0.825
    0.980	    0.557	   -0.830
    0.990	    0.549	   -0.836
    1.000	    0.540	   -0.841
    1.010	    0.532	   -0.847
    1.020	    0.523	   -0.852
    1.030	    0.515	   -0.857
    1.040	    0.506	   -0.862
    1.050	    0.498	   -0.867
    1.060	    0.489	   -0.872
    1.070	    0.480	   -0.877
    1.080	    0.471	   -0.882
    1.090	    0.462	   -0.887
    1.100	    0.454	   -0.891
    1.110	    0.445	   -0.896
    1.120	    0.436	   -0.900
    1.130	    0.427	   -0.904
    1.140	    0.418	   -0.909
    1.150	    0.408	   -0.913
    1.160	    0.399	   -0.917
    1.170	    0.390	   -0.921
    1.180	    0.381	   -0.925
    1.190	    0.372	   -0.928
    1.200	    0.362	   -0.932
    1.210	    0.353	   -0.936
    1.220	    0.344	   -0.939
    1.230	    0.334	   -0.942
    1.240	    0.325	   -0.946
    1.250	    0.315	   -0.949
    1.260	    0.306	   -0.952
    1.270	    0.296	   -0.955
    1.280	    0.287	   -0.958
    1.290	    0.277	   -0.961
    1.300	    0.267	   -0.964
    1.310	    0.258	   -0.966
    1.320	    0.248	   -0.969
    1.330	    0.238	   -0.971
    1.340	    0.229	   -0.973
    1.350	    0.219	   -0.976
    1.360	    0.209	   -0.978
    1.370	    0.199	   -0.980
    1.380	    0.190	   -0.982
    1.390	    0.180	   -0.984
    1.400	    0.170	   -0.985
    1.410	    0.160	   -0.987
    1.420	    0.150	   -0.989
    1.430	    0.140	   -0.990
    1.440	    0.130	   -0.991
    1.450	    0.121	   -0.993
    1.460	    0.111	   -0.994
    1.470	    0.101	   -0.995
    1.480	    0.091	   -0.996
    1.490	    0.081	   -0.997
    1.500	    0.071	   -0.997
    1.510	    0.061	   -0.998
    1.520	    0.051	   -0.999
    1.530	    0.041	   -0.999
    1.540	    0.031	   -1.000
    1.550	    0.021	   -1.000
    1.560	    0.011	   -1.000
    1.570	    0.001	   -1.000
    1.580	   -0.009	   -1.000
    1.590	   -0.019	   -1.000
    1.600	   -0.029	   -1.000
    1.610	   -0.039	   -0.999
    1.620	   -0.049	   -0.999
    1.630	   -0.059	   -0.998
    1.640	   -0.069	   -0.998
    1.650	   -0.079	   -0.997
    1.660	   -0.089	   -0.996
    1.670	   -0.099	   -0.995
    1.680	   -0.109	   -0.994
    1.690	   -0.119	   -0.993
    1.700	   -0.129	   -0.992
    1.710	   -0.139	   -0.990
    1.720	   -0.149	   -0.989
    1.730	   -0.159	   -0.987
    1.740	   -0.168	   -0.986
    1.750	   -0.178	   -0.984
    1.760	   -0.188	   -0.982
    1.770	   -0.198	   -0.980
    1.780	   -0.208	   -0.978
    1.790	   -0.217	   -0.976
    1.800	   -0.227	   -0.974
    1.810	   -0.237	   -0.972
    1.820	   -0.247	   -0.969
    1.830	   -0.256	   -0.967
    1.840	   -0.266	   -0.964
    1.850	   -0.276	   -0.961
    1.860	   -0.285	   -0.958
    1.870	   -0.295	   -0.956
    1.880	   -0.304	   -0.953
    1.890	   -0.314	   -0.949
    1.900	   -0.323	   -0.946
    1.910	   -0.333	   -0.943
    1.920	   -0.342	   -0.940
    1.930	   -0.352	   -0.936
    1.940	   -0.361	   -0.933
    1.950	   -0.370	   -0.929
    1.960	   -0.379	   -0.925
    1.970	   -0.389	   -0.921
    1.980	   -0.398	   -0.917
    1.990	   -0.407	   -0.913
    2.000	   -0.416	   -0.909
